t,P,eps,beta_B,cs2,s,S,L,Phi_nu,Qdot_nu
0.000571,0.013703833000000002,1.213735,0.011290630162267713,0.1,1.5451750477402928,4.008236180908671e-19,3.26041e+41,3.2604099999999996e+33,5.649601959293262e+19
0.000572,0.013732992000000001,1.21402,0.011311998154890365,0.1,1.544554707379135,4.001437065749054e-19,3.271840000000001e+41,3.271840000000001e+33,5.643955181193583e+19
0.0005729999999999999,0.013762176999999999,1.214305,0.011333377528709837,0.1,1.5439351557533376,3.994657582802944e-19,3.2832899999999994e+41,3.283289999999999e+33,5.638314047049558e+19
0.000574,0.013791388,1.21459,0.011354768275714439,0.1,1.5433163913595935,3.9878976520919723e-19,3.2947599999999996e+41,3.2947599999999995e+33,5.632678551220047e+19
0.000575,0.013820625000000001,1.214875,0.011376170387899991,0.1,1.5426984126984127,3.9811571940604194e-19,3.3062499999999995e+41,3.306249999999999e+33,5.627048688069557e+19
0.000576,0.013849888000000005,1.21516,0.011397583857269827,0.1,1.5420812182741117,3.9744361295724517e-19,3.3177599999999996e+41,3.317759999999999e+33,5.6214244519682245e+19
0.0005769999999999999,0.013879177,1.215445,0.011419008675834775,0.1,1.5414648065948005,3.967734379909397e-19,3.32929e+41,3.3292899999999994e+33,5.615805837291813e+19
0.000578,0.013908492,1.21573,0.01144044483561317,0.1,1.5408491761723702,3.961051866767019e-19,3.3408399999999996e+41,3.3408399999999993e+33,5.6101928384217055e+19
0.000579,0.013937832999999998,1.216015,0.011461892328630813,0.1,1.5402343255224826,3.9543885122528435e-19,3.35241e+41,3.3524099999999995e+33,5.604585449744904e+19
0.00058,0.0139672,1.2163000000000002,0.011483351146920989,0.1,1.539620253164557,3.947744238883479e-19,3.364e+41,3.3639999999999994e+33,5.5989836656540205e+19
0.000581,0.013996593,1.216585,0.011504821282524443,0.1,1.5390069576217584,3.941118969581967e-19,3.3756099999999996e+41,3.3756099999999995e+33,5.593387480547268e+19
0.0005819999999999999,0.014026011999999997,1.21687,0.011526302727489378,0.1,1.5383944374209861,3.934512627675157e-19,3.38724e+41,3.3872399999999994e+33,5.5877968888284635e+19
0.000583,0.014055456999999999,1.217155,0.011547795473871445,0.1,1.5377826910928616,3.9279251368910896e-19,3.3988899999999997e+41,3.3988899999999995e+33,5.582211884907012e+19
0.000584,0.014084928000000002,1.21744,0.011569299513733738,0.1,1.5371717171717172,3.9213564213564213e-19,3.41056e+41,3.4105599999999993e+33,5.576632463197912e+19
0.000585,0.014114425,1.217725,0.01159081483914677,0.1,1.5365615141955835,3.9148064055938428e-19,3.4222499999999997e+41,3.4222499999999994e+33,5.5710586181217395e+19
0.0005859999999999999,0.014143947999999996,1.21801,0.011612341442188484,0.1,1.5359520807061793,3.9082750145195404e-19,3.43396e+41,3.43396e+33,5.565490344104649e+19
0.000587,0.014173496999999998,1.218295,0.011633879314944246,0.1,1.5353434152488972,3.901762173440654e-19,3.4456899999999996e+41,3.445689999999999e+33,5.559927635578366e+19
0.000588,0.014203072000000002,1.21858,0.011655428449506806,0.1,1.5347355163727958,3.8952678080527812e-19,3.4574399999999994e+41,3.4574399999999995e+33,5.554370486980183e+19
0.000589,0.014232673000000001,1.218865,0.011676988837976314,0.1,1.5341283826305854,3.8887918444374785e-19,3.4692099999999998e+41,3.4692099999999995e+33,5.548818892752949e+19
0.0005899999999999999,0.014262299999999997,1.21915,0.01169856047246032,0.1,1.5335220125786164,3.8823342090597886e-19,3.4809999999999988e+41,3.4809999999999986e+33,5.543272847345071e+19
0.0005909999999999999,0.014291953,1.2194349999999998,0.011720143345073744,0.1,1.5329164047768697,3.8758948287657895e-19,3.4928099999999995e+41,3.492809999999999e+33,5.537732345210501e+19
0.000592,0.014321632,1.2197200000000001,0.01174173744793887,0.1,1.5323115577889448,3.8694736307801637e-19,3.5046399999999996e+41,3.5046399999999993e+33,5.532197380808738e+19
0.000593,0.014351337000000002,1.220005,0.011763342773185357,0.1,1.5317074701820466,3.863070542703774e-19,3.51649e+41,3.51649e+33,5.526667948604817e+19
0.000594,0.014381068,1.2202899999999999,0.011784959312950202,0.1,1.531104140526976,3.8566854925112745e-19,3.52836e+41,3.5283599999999994e+33,5.521144043069306e+19
0.0005949999999999999,0.014410824999999999,1.2205750000000002,0.01180658705937775,0.1,1.5305015673981195,3.850318408548728e-19,3.54025e+41,3.54025e+33,5.515625658678298e+19
0.000596,0.014440608000000002,1.22086,0.011828226004619696,0.1,1.5298997493734336,3.84396921953124e-19,3.55216e+41,3.5521599999999994e+33,5.5101127899134075e+19
0.000597,0.014470417,1.221145,0.011849876140835037,0.1,1.5292986850344394,3.837637854540626e-19,3.56409e+41,3.56409e+33,5.5046054312617665e+19
0.000598,0.014500252,1.22143,0.011871537460190104,0.1,1.5286983729662078,3.831324243023077e-19,3.57604e+41,3.57604e+33,5.4991035772160156e+19
0.0005989999999999999,0.014530112999999994,1.221715,0.011893209954858533,0.1,1.5280988117573486,3.825028314786856e-19,3.588009999999998e+41,3.588009999999998e+33,5.4936072222743e+19
