time,iprog
4.29675,1.555
4.297,1.555
4.29725,1.555
4.2975,1.555
4.29775,1.555
4.298,1.555
4.29825,1.555
4.2985,1.555
4.29875,1.555
4.299,1.555
4.29925,1.555
4.2995,1.555
4.29975,1.555
4.3,1.555
4.30025,1.555
4.3005,1.555
4.30075,1.555
4.301,1.555
4.30125,1.555
4.3015,1.555
4.30175,1.555
4.302,1.555
4.30225,1.555
4.3025,1.555
4.30275,1.555
4.303,1.555
4.30325,1.555
4.3035,1.555
4.30375,1.555
4.304,1.555
4.30425,1.555
4.3045,1.555
4.30475,1.555
4.305,1.555
4.30525,1.555
4.3055,1.555
4.30575,1.555
4.306,1.555
4.30625,1.555
4.3065,1.555
4.30675,1.555
4.307,1.555
4.30725,1.555
4.3075,1.555
4.30775,1.555
4.308,1.555
4.30825,1.555
4.3085,1.555
4.30875,1.555
4.309,1.555
4.30925,1.555
4.3095,1.555
4.30975,1.555
4.31,1.555
4.31025,1.555
4.3105,1.555
4.31075,1.555
4.311,1.555
4.31125,1.555
4.3115,1.555
4.31175,1.555
4.312,1.555
4.31225,1.555
4.3125,1.555
4.31275,1.555
4.313,1.555
4.31325,1.555
4.3135,1.555
4.31375,1.555
4.314,1.555
4.31425,1.555
4.3145,1.555
4.31475,1.555
4.315,1.555
4.31525,1.555
4.3155,1.555
4.31575,1.555
4.316,1.555
4.31625,1.555
4.3165,1.555
4.31675,1.555
4.317,1.555
4.31725,1.555
4.3175,1.555
4.31775,1.555
4.318,1.555
4.31825,1.555
4.3185,1.555
4.31875,1.555
4.319,1.555
4.31925,1.555
4.3195,1.555
4.31975,1.555
4.32,1.555
4.32025,1.555
4.3205,1.555
4.32075,1.555
4.321,1.555
4.32125,1.555
4.3215,1.555
4.32175,1.555
4.322,1.555
4.32225,1.555
4.3224993,1.555
4.32275,1.555
4.323,1.555
4.32325,1.555
4.3235,1.555
4.32375,1.555
4.324,1.555
4.32425,1.555
4.3245,1.555
4.32475,1.555
4.325,1.555
4.32525,1.555
4.3255,1.555
4.32575,1.555
4.326,1.555
4.32625,1.555
4.3265,1.555
4.32675,1.555
4.327,1.555
4.32725,1.555
4.3275,1.555
4.32775,1.555
4.328,1.555
4.32825,1.555
4.3285,1.555
4.32875,1.555
4.329,1.555
4.32925,1.555
4.3295,1.555
4.32975,1.555
4.33,1.555
4.33025,1.555
4.3305,1.555
4.33075,1.555
4.331,1.555
4.33125,1.555
4.3315,1.555
4.33175,1.555
4.332,1.555
4.33225,1.555
4.3325,1.555
4.33275,1.555
4.333,1.555
4.33325,1.555
4.3335,1.555
4.33375,1.555
4.334,1.555
4.33425,1.555
4.3345,1.555
4.33475,1.555
4.335,1.555
4.33525,1.555
4.3355,1.555
4.33575,1.555
4.336,1.555
4.33625,1.555
4.3365,1.555
4.33675,1.555
4.337,1.555
4.33725,1.555
4.3375,1.555
4.33775,1.555
4.338,1.555
4.33825,1.555
4.3385,1.555
4.33875,1.555
4.339,1.555
4.33925,1.555
4.3395,1.555
4.33975,1.555
4.34,1.555
4.34025,1.555
4.3405,1.555
4.34075,1.555
4.341,1.555
4.34125,1.555
4.3415,1.555
4.34175,1.555
4.342,1.555
4.34225,1.555
4.3425,1.555
4.34275,1.555
4.343,1.555
4.34325,1.555
4.3435,1.555
4.34375,1.555
4.344,1.555
4.34425,1.555
4.3445,1.555
4.34475,1.555
4.345,1.555
4.34525,1.555
4.3455,1.555
4.34575,1.555
4.346,1.555
4.34625,1.555
4.3465,1.555
4.34675,1.555
4.347,1.555
4.34725,1.555
4.3475,1.555
4.34775,1.555
4.348,1.555
4.34825,1.555
4.3485,1.555
4.34875,1.555
4.349,1.555
4.34925,1.555
4.3495,1.555
4.34975,1.555
4.35,1.555
4.35025,1.555
4.3505,1.555
4.35075,1.555
4.351,1.555
4.35125,1.555
4.3515,1.555
4.35175,1.555
4.352,1.555
4.35225,1.555
4.3525,1.555
4.35275,1.555
4.353,1.555
4.35325,1.555
4.3535,1.555
4.3537493,1.555
4.354,1.555
4.35425,1.555
4.3545,1.555
4.35475,1.555
4.355,1.555
4.35525,1.555
4.3555,1.555
4.35575,1.555
4.356,1.555
4.35625,1.555
4.3565,1.555
4.35675,1.555
4.357,1.555
4.35725,1.555
4.3575,1.555
4.35775,1.555
4.358,1.555
4.35825,1.555
4.3585,1.555
4.35875,1.555
4.359,1.555
4.35925,1.555
4.3595,1.555
4.35975,1.555
4.36,1.555
4.36025,1.555
4.3605,1.555
4.36075,1.555
4.361,1.555
4.36125,1.555
4.3615,1.555
4.36175,1.555
4.362,1.555
4.36225,1.555
4.3625,1.555
4.36275,1.555
4.363,1.555
4.36325,1.555
4.3635,1.555
4.36375,1.555
4.364,1.555
4.36425,1.555
4.3645,1.555
4.36475,1.555
4.365,1.555
4.36525,1.555
4.3655,1.555
4.36575,1.555
4.366,1.555
4.36625,1.555
4.3665,1.555
4.36675,1.555
4.367,1.555
4.36725,1.555
4.3675,1.555
4.36775,1.555
4.368,1.555
4.36825,1.555
4.3685,1.555
4.36875,1.555
4.369,1.555
4.36925,1.555
4.3695,1.555
4.36975,1.555
4.37,1.555
4.37025,1.555
4.3705,1.555
4.37075,1.555
4.371,1.555
4.37125,1.555
4.3715,1.555
4.37175,1.555
4.372,1.555
4.37225,1.555
4.3725,1.555
4.37275,1.555
4.373,1.555
4.37325,1.555
4.3735,1.555
4.37375,1.555
4.374,1.555
4.37425,1.555
4.3745,1.555
4.37475,1.555
4.375,1.555
4.37525,1.555
4.3755,1.555
4.37575,1.555
4.376,1.555
4.37625,1.555
4.3765,1.555
4.37675,1.555
4.377,1.555
4.37725,1.555
4.3775,1.555
4.37775,1.555
4.378,1.555
4.37825,1.555
4.3785,1.555
4.37875,1.555
